question,answer,class_1,class_2,vector_database_result,reranker_result
Здравствуйте! Можно уточнить причины Правилhttps://rutube.ru/info/taboo_agreement/ по которым удаляются ролики? что за нарушение правил RUTUBE ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ,Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 'Как размещать ролики на главной странице RUTUBE?', 'Можно ли удалить канал через приложение Студия RUTUBE?', 'Можно ли удалить канал через приложение Студия RUTUBE?', 'Что такое модерация на RUTUBE?', 'Кем осуществляется модерация в RUTUBE?', 'Как выйти из аккаунта в приложении Студия RUTUBE?', 'Как выйти из аккаунта в приложении Студия RUTUBE?', 'Как эмбедировать видео с RUTUBE?', 'Как перенести видео с YouTube на RUTUBE?']","[['Кем осуществляется модерация в RUTUBE?', 0.37326452136039734], ['Как размещать ролики на главной странице RUTUBE?', 0.3580949008464813], ['Что такое модерация на RUTUBE?', 0.33182740211486816]]"
"Добрый вечер, какой топ причин блокировки видео на рутубе?",Я не знаю.,ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"['Как эмбедировать видео с RUTUBE?', 'Что такое личный канал на RUTUBE?', 'Зачем нужна регистрация на RUTUBE?', 'Как перенести видео с YouTube на RUTUBE?', 'Что нельзя публиковать на RUTUBE?', 'Как перенести видео c YouTube на RUTUBE?', 'Для чего нужны настройки доступа к студии канала в Студии RUTUBE?', 'Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 'Как завести канал на RUTUBE?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?']","[['Как перенести видео c YouTube на RUTUBE?', 0.007153550162911415], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.005878484807908535], ['Как перенести видео с YouTube на RUTUBE?', 0.004785165190696716]]"
"Все пишут, что монетизация на рутубе отключается сама собой, у меня тоже так будет?","Автоматическое отключение монетизации на Рутубе может происходить по нескольким причинам, связанным с изменением юридического статуса на видео, искусственным завышением показателей или нарушением авторских прав. Если ваш контент нарушает эти условия, то отключение монетизации может затронуть и ваш аккаунт. Чтобы избежать этого, необходимо следить за соблюдением правил платформы и обеспечивать соответствие всем требованиям.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 'Как долго рассматривается заявка на монетизацию? ', 'Что такое Монетизация на RUTUBE?', 'Что такое Монетизация на RUTUBE?', 'Монетизация подключена. С какого момента будет рассчитываться вознаграждение? ', 'Могут ли трансляции монетизироваться?', 'Как долго рассматривается повторная заявка на монетизацию?', 'Как часто обновляются данные по монетизации?']","[['Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 0.9549266695976257], ['Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 0.9118182063102722], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.8801067471504211]]"
Что запрещено в монетизации и что можно выкладывать?,Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Как подтвердить права на использование контента для монетизации?', 'Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Есть ли ограничения на одновременное проведение трансляций на RUTUBE и на других площадках (YouTube, Twitch и VK)?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Есть ли ограничения на количество видео, размещаемых в разделе Shorts на главной?', 'В каком порядке публикуются и отображаются видео на канале?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 'Какие возможности взаимодействия со Студией доступны пользователю в роли Редактора с ограниченными правами?', 'Монетизируется ли контент с отметкой 18+?']","[['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.5366387367248535], ['Монетизируется ли контент с отметкой 18+?', 0.22653506696224213], ['Как подтвердить права на использование контента для монетизации?', 0.06894776225090027]]"
"Чтобы не отключали монетизацию, надо, чтобы я сам снимал видео?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Как подтвердить права на использование контента для монетизации?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 'Можно ли создать несколько каналов и монетизировать их?', 'Обязательна ли верификация канала для подключения к монетизации?', 'Обязательна ли верификация канала для подключения к монетизации?', 'Обязательна ли верификация канала для подключения к монетизации?', 'Могут ли трансляции монетизироваться?']","[['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.7653165459632874], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.4171943962574005], ['Могут ли трансляции монетизироваться?', 0.133152574300766]]"
"Можно ли мне накрутить просмотры, не будет нарушением? Все равно же это просмотры ",Я не знаю.,ТРАНСЛЯЦИЯ,Управление трансляцией,"['Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?', 'Можно ли включить отложенную публикацию видео?', 'Можно ли перенести видео с YouTube на RUTUBE-канал?', 'Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?', 'Можно ли эмбедировать (встраивать) трансляции на сторонние сайты?', 'Можно ли эмбедировать (встраивать) приватные трансляции на сторонние сайты?', 'Можно ли запускать приватные трансляции на RUTUBE?', 'Можно ли управлять другим каналом через приложение Студия RUTUBE?', 'Можно ли управлять другим каналом через приложение Студия RUTUBE?']","[['Можно ли запускать приватные трансляции на RUTUBE?', 0.7227075695991516], ['Можно ли эмбедировать (встраивать) приватные трансляции на сторонние сайты?', 0.060544129461050034], ['Можно ли включить отложенную публикацию видео?', 0.048859063535928726]]"
"Если коменты и просмотрынакрученны, рутуб с таким явлением что-то делает?",Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Что делать, если модерация в RUTUBE не пройдена? (Что делать, если мое видео отклонено?)', 'Кем осуществляется модерация в RUTUBE?', 'Как перенести видео с YouTube на RUTUBE?', 'Как перенести видео c YouTube на RUTUBE?', 'Как эмбедировать видео с RUTUBE?', 'Как завести канал на RUTUBE?', 'Как размещать ролики на главной странице RUTUBE?', 'Как написать обращение в поддержку через приложение Студия RUTUBE? ', 'Как написать обращение в поддержку через приложение Студия RUTUBE?', 'Можно ли работать с комментариями в приложении Студия RUTUBE?']","[['Кем осуществляется модерация в RUTUBE?', 0.7431813478469849], ['Как размещать ролики на главной странице RUTUBE?', 0.18344031274318695], ['Как эмбедировать видео с RUTUBE?', 0.04483194276690483]]"
Какой статус мне выбрать для монетизации?,Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['С какого возраста доступна монетизация?', 'С какого возраста доступна монетизация?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 'Как долго рассматривается заявка на монетизацию? ', 'Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Как подключить монетизацию, если я физлицо?', 'Как подключить монетизацию, если я физлицо?', 'Как подтвердить права на использование контента для монетизации?', 'Как часто обновляются данные по монетизации?', 'Какие документы нужны для заявки на монетизацию?']","[['Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 0.08958077430725098], ['Как подтвердить права на использование контента для монетизации?', 0.08606575429439545], ['С какого возраста доступна монетизация?', 0.051735736429691315]]"
"Если я превышу лимит по самозанятости, с монетизацией все будет хорошо?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Как формируется вознаграждение за монетизацию?', 'Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 'Как долго рассматривается заявка на монетизацию? ', 'Как долго рассматривается повторная заявка на монетизацию?', 'С какого возраста доступна монетизация?', 'С какого возраста доступна монетизация?', 'Как часто обновляются данные по монетизации?', 'Могут ли трансляции монетизироваться?', 'Как подтвердить права на использование контента для монетизации?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?']","[['Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 0.21865111589431763], ['Могут ли трансляции монетизироваться?', 0.006187337450683117], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.0015831829514354467]]"
"Подскажите, пожалуйста, что не запрещено выкладывать в монетизации?",Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Что такое Монетизация на RUTUBE?', 'Что такое Монетизация на RUTUBE?', 'Кому доступно проведение трансляций (стримов) на RUTUBE?', 'Что нельзя публиковать на RUTUBE?', 'С помощью каких программ допускается вести трансляции на RUTUBE?', 'Как завести канал на RUTUBE?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Можно ли запускать приватные трансляции на RUTUBE?', 'Есть ли ограничения на одновременное проведение трансляций на RUTUBE и на других площадках (YouTube, Twitch и VK)?', 'С какой кадровой частотой могут идти трансляции на RUTUBE?']","[['Что нельзя публиковать на RUTUBE?', 0.34110361337661743], ['С помощью каких программ допускается вести трансляции на RUTUBE?', 0.04748769477009773], ['Что такое Монетизация на RUTUBE?', 0.0268078800290823]]"
