question,answer,class_1,class_2,vector_database_result,reranker_result
Здравствуйте! Можно уточнить причины Правилhttps://rutube.ru/info/taboo_agreement/ по которым удаляются ролики? что за нарушение правил RUTUBE ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ,Я не знаю.,МОДЕРАЦИЯ,Запрещенный контент,"['Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.', 'Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 'На моем видеоролике стоит значок «18+». Что это значит и как это убрать?']","[['Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.', 0.6972863674163818], ['Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 0.1482212394475937], ['На моем видеоролике стоит значок «18+». Что это значит и как это убрать?', 0.019669843837618828]]"
"Добрый вечер, какой топ причин блокировки видео на рутубе?",Я не знаю.,МОДЕРАЦИЯ,Долгая модерация,"['Как эмбедировать видео с RUTUBE?', 'Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 'Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?']","[['Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?', 0.17421531677246094], ['Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 0.0422605499625206], ['Как эмбедировать видео с RUTUBE?', 0.001280798576772213]]"
"Все пишут, что монетизация на рутубе отключается сама собой, у меня тоже так будет?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Могут ли трансляции монетизироваться?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ']","[['Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 0.42335429787635803], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.3028479814529419], ['Могут ли трансляции монетизироваться?', 0.23734059929847717]]"
Что запрещено в монетизации и что можно выкладывать?,Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Могут ли трансляции монетизироваться?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?']","[['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 0.43606147170066833], ['Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 0.3830123543739319], ['Могут ли трансляции монетизироваться?', 0.3457820415496826]]"
"Чтобы не отключали монетизацию, надо, чтобы я сам снимал видео?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 'Можно ли отключить рекламу в видео?']","[['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.6111164093017578], ['Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 0.4696859121322632], ['Можно ли отключить рекламу в видео?', 0.030149243772029877]]"
"Можно ли мне накрутить просмотры, не будет нарушением? Все равно же это просмотры ",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?']","[['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.02706310525536537], ['Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?', 0.008985522203147411], ['Можно ли публиковать видео с чтением чужих книг и их переводов?', 0.0018057593842968345]]"
"Если коменты и просмотрынакрученны, рутуб с таким явлением что-то делает?",Я не знаю.,ТРАНСЛЯЦИЯ,Управление трансляцией,"['Можно ли работать с комментариями в приложении Студия RUTUBE?', 'Можно ли заблокировать пользователя, оставляющего оскорбительные комментарии?', 'Можно ли запускать приватные трансляции на RUTUBE?']","[['Можно ли запускать приватные трансляции на RUTUBE?', 0.06971392035484314], ['Можно ли работать с комментариями в приложении Студия RUTUBE?', 0.02068701945245266], ['Можно ли заблокировать пользователя, оставляющего оскорбительные комментарии?', 0.0010899673216044903]]"
Какой статус мне выбрать для монетизации?,"Для монетизации на RUTUBE доступны различные статусы, которые могут быть определены в зависимости от юридического статуса видео. Чтобы избежать отключения монетизации из-за изменений в юридическом статусе, важно правильно выбрать статус при загрузке видео. Однако конкретные варианты статусов не указаны в предоставленных фрагментах документации. 

Если у вас есть дополнительные вопросы о выборе статуса или других аспектах монетизации, пожалуйста, уточните.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['С какого возраста доступна монетизация?', 'С какого возраста доступна монетизация?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?']","[['Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 0.5280715227127075], ['С какого возраста доступна монетизация?', 0.06851272284984589], ['С какого возраста доступна монетизация?', 0.06851272284984589]]"
"Если я превышу лимит по самозанятости, с монетизацией все будет хорошо?",Я не знаю.,ПРЕДЛОЖЕНИЯ,Монетизация,"['Как подключить монетизацию, если я физлицо?', 'Как подключить монетизацию, если я физлицо?', 'Могут ли трансляции монетизироваться?']","[['Как подключить монетизацию, если я физлицо?', 0.0012738662771880627], ['Как подключить монетизацию, если я физлицо?', 0.0012738662771880627], ['Могут ли трансляции монетизироваться?', 0.001154654542915523]]"
"Подскажите, пожалуйста, что не запрещено выкладывать в монетизации?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Как подтвердить права на использование контента для монетизации?', 'Могут ли трансляции монетизироваться?']","[['Могут ли трансляции монетизироваться?', 0.3147233724594116], ['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 0.03452053666114807], ['Как подтвердить права на использование контента для монетизации?', 0.010019229725003242]]"
"Какую музыку можно использовать в видео, чтобы получать доход от просмотров?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Можно ли на RUTUBE стримить музыку?', 'Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Какую категорию выбрать для видео?']","[['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 0.002395682269707322], ['Какую категорию выбрать для видео?', 0.0019271766068413854], ['Можно ли на RUTUBE стримить музыку?', 0.0018914813408628106]]"
