question,answer,class_1,class_2,vector_database_result,reranker_result
Здравствуйте! Можно уточнить причины Правилhttps://rutube.ru/info/taboo_agreement/ по которым удаляются ролики? что за нарушение правил RUTUBE ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ,Я не знаю.,МОДЕРАЦИЯ,Запрещенный контент,"['Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.', 'Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 'На моем видеоролике стоит значок «18+». Что это значит и как это убрать?']","[['Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.', 0.6972863674163818], ['Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 0.1482212394475937], ['На моем видеоролике стоит значок «18+». Что это значит и как это убрать?', 0.019669843837618828]]"
"Добрый вечер, какой топ причин блокировки видео на рутубе?",Я не знаю.,МОДЕРАЦИЯ,Долгая модерация,"['Как эмбедировать видео с RUTUBE?', 'Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 'Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?']","[['Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?', 0.17421531677246094], ['Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 0.0422605499625206], ['Как эмбедировать видео с RUTUBE?', 0.001280798576772213]]"
"Все пишут, что монетизация на рутубе отключается сама собой, у меня тоже так будет?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Могут ли трансляции монетизироваться?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ']","[['Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 0.42335429787635803], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.3028479814529419], ['Могут ли трансляции монетизироваться?', 0.23734059929847717]]"
Что запрещено в монетизации и что можно выкладывать?,Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Могут ли трансляции монетизироваться?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?']","[['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 0.43606147170066833], ['Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 0.3830123543739319], ['Могут ли трансляции монетизироваться?', 0.3457820415496826]]"
"Чтобы не отключали монетизацию, надо, чтобы я сам снимал видео?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 'Можно ли отключить рекламу в видео?']","[['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.6111164093017578], ['Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 0.4696859121322632], ['Можно ли отключить рекламу в видео?', 0.030149243772029877]]"
"Можно ли мне накрутить просмотры, не будет нарушением? Все равно же это просмотры ",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?']","[['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.02706310525536537], ['Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?', 0.008985522203147411], ['Можно ли публиковать видео с чтением чужих книг и их переводов?', 0.0018057593842968345]]"
"Если коменты и просмотрынакрученны, рутуб с таким явлением что-то делает?",Я не знаю.,ТРАНСЛЯЦИЯ,Управление трансляцией,"['Можно ли работать с комментариями в приложении Студия RUTUBE?', 'Можно ли заблокировать пользователя, оставляющего оскорбительные комментарии?', 'Можно ли запускать приватные трансляции на RUTUBE?']","[['Можно ли запускать приватные трансляции на RUTUBE?', 0.06971392035484314], ['Можно ли работать с комментариями в приложении Студия RUTUBE?', 0.02068701945245266], ['Можно ли заблокировать пользователя, оставляющего оскорбительные комментарии?', 0.0010899673216044903]]"
Какой статус мне выбрать для монетизации?,"Для монетизации на RUTUBE доступны определенные статусы. Однако, если юридический статус видео изменится, это может привести к отключению монетизации. Чтобы избежать этого, важно следить за актуальностью юридического статуса вашего контента. Конкретный статус, который следует выбрать для монетизации, не указан в предоставленных фрагментах, поэтому рекомендуется ознакомиться с более подробной документацией или обратиться в службу поддержки для получения конкретных рекомендаций.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['С какого возраста доступна монетизация?', 'С какого возраста доступна монетизация?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?']","[['Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 0.5280715227127075], ['С какого возраста доступна монетизация?', 0.06851272284984589], ['С какого возраста доступна монетизация?', 0.06851272284984589]]"
"Если я превышу лимит по самозанятости, с монетизацией все будет хорошо?",Я не знаю.,ПРЕДЛОЖЕНИЯ,Монетизация,"['Как подключить монетизацию, если я физлицо?', 'Как подключить монетизацию, если я физлицо?', 'Могут ли трансляции монетизироваться?']","[['Как подключить монетизацию, если я физлицо?', 0.0012738662771880627], ['Как подключить монетизацию, если я физлицо?', 0.0012738662771880627], ['Могут ли трансляции монетизироваться?', 0.001154654542915523]]"
"Подскажите, пожалуйста, что не запрещено выкладывать в монетизации?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Как подтвердить права на использование контента для монетизации?', 'Могут ли трансляции монетизироваться?']","[['Могут ли трансляции монетизироваться?', 0.3147233724594116], ['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 0.03452053666114807], ['Как подтвердить права на использование контента для монетизации?', 0.010019229725003242]]"
"Какую музыку можно использовать в видео, чтобы получать доход от просмотров?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Можно ли на RUTUBE стримить музыку?', 'Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Какую категорию выбрать для видео?']","[['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 0.002395682269707322], ['Какую категорию выбрать для видео?', 0.0019271766068413854], ['Можно ли на RUTUBE стримить музыку?', 0.0018914813408628106]]"
Я заю что музыку нельзя размещать!  А если сам ее написал или с сайта то как,Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Можно ли на RUTUBE стримить музыку?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Кому принадлежат авторские права на контент, который я размещаю на платформе?']","[['Можно ли на RUTUBE стримить музыку?', 0.021644949913024902], ['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.0017742728814482689], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.0011929417960345745]]"
У контента из интернета есть авторские права?,Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Можно ли свободно использовать материалы из интернета или из общего доступа?', 'Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?']","[['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.11958907544612885], ['Можно ли свободно использовать материалы из интернета или из общего доступа?', 0.0320395827293396], ['Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?', 0.001166480127722025]]"
Что защищено авторским правом? Какие материалы,"Авторским правом защищены оригинальные произведения, включая, но не ограничиваясь, литературными, художественными, музыкальными и аудиовизуальными материалами. Это также может включать программное обеспечение, базы данных и другие творческие работы, созданные автором. Важно отметить, что защита авторским правом распространяется на выражение идей, а не на сами идеи.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Какие материалы защищены авторским правом?', 'Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Можно ли свободно использовать материалы из интернета или из общего доступа?']","[['Какие материалы защищены авторским правом?', 0.833203911781311], ['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.002467852784320712], ['Можно ли свободно использовать материалы из интернета или из общего доступа?', 0.001658290857449174]]"
"Какие документы нужны для восстановления монетизации, ели это чужие видео?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какие документы нужны для заявки на монетизацию?', 'Какие документы нужны для заявки на монетизацию?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?']","[['Какие документы нужны для заявки на монетизацию?', 0.5641162991523743], ['Какие документы нужны для заявки на монетизацию?', 0.5641162991523743], ['Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 0.0012104315683245659]]"
"Добрый день, я бы хотел узнать какие документы я должен предоставить чтобы мог загружать определенные фильмы и мультфильмы? у меня есть разрешения на некоторые фильмы и мультфильмы просто, надо включить монетизацию",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какие документы нужны для заявки на монетизацию?', 'Какие документы нужны для заявки на монетизацию?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?']","[['Какие документы нужны для заявки на монетизацию?', 0.35372820496559143], ['Какие документы нужны для заявки на монетизацию?', 0.35372817516326904], ['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.08457358926534653]]"
"Если я видео размещаю, авторские права у вас будут?","Авторские права на контент, который вы размещаете на платформе RUTUBE, принадлежат вам. Однако, вы должны гарантировать, что ваш контент не нарушает авторские права третьих лиц.",МОДЕРАЦИЯ,Нарушение авторских прав,"['Как пожаловаться на видео, если оно нарушает авторские права?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Кому принадлежат авторские права на контент, который я размещаю на платформе?']","[['Как пожаловаться на видео, если оно нарушает авторские права?', 0.18943430483341217], ['Можно ли публиковать видео с чтением чужих книг и их переводов?', 0.07764563709497452], ['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.01687968708574772]]"
кто правообладатель аорских прав на размещенный ролик на канале?,Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Может ли пользователь с правами Редактора управлять подписками Владельца канала?', 'Может ли пользователь, которому предоставили доступ к студии канала, самостоятельно отказаться от него?']","[['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.007965905591845512], ['Может ли пользователь с правами Редактора управлять подписками Владельца канала?', 0.002249357756227255], ['Может ли пользователь, которому предоставили доступ к студии канала, самостоятельно отказаться от него?', 0.0011673670960590243]]"
Кому принадлежат авторские права на данный контент?,"Авторские права на контент, который вы размещаете на платформе RUTUBE, принадлежат вам, как автору контента. Это означает, что вы сохраняете все права на свои произведения, однако вы предоставляете платформе лицензии на использование вашего контента, в соответствии с условиями, которые вы принимаете при размещении.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Какие материалы защищены авторским правом?', 'Как подтвердить права на использование контента для монетизации?']","[['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.7636368274688721], ['Какие материалы защищены авторским правом?', 0.0014300436014309525], ['Как подтвердить права на использование контента для монетизации?', 0.0010509038111194968]]"
"пройдет видео модерация, если цитировать чужие материалы?",Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Можно ли цитировать чужие произведения?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Что делать, если модерация в RUTUBE не пройдена? (Что делать, если мое видео отклонено?)']","[['Можно ли публиковать видео с чтением чужих книг и их переводов?', 0.07991796731948853], ['Что делать, если модерация в RUTUBE не пройдена? (Что делать, если мое видео отклонено?)', 0.030614221468567848], ['Можно ли цитировать чужие произведения?', 0.0013894432922825217]]"
Могу я в видео процитировать произведение известного нейрохирурга?,Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Можно ли цитировать чужие произведения?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?']","[['Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?', 0.015434809029102325], ['Можно ли цитировать чужие произведения?', 0.006484880577772856], ['Можно ли публиковать видео с чтением чужих книг и их переводов?', 0.00626453896984458]]"
Не запрещено цитировать произведения?,"Цитирование чужих произведений возможно, но необходимо учитывать определенные условия. Важно помнить, что использование цитат должно соответствовать правилам добросовестного использования, которые могут варьироваться в зависимости от страны и контекста. Если вы планируете цитировать произведение, убедитесь, что это делается в рамках допустимых норм.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Можно ли цитировать чужие произведения?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Можно ли свободно использовать материалы из интернета или из общего доступа?']","[['Можно ли цитировать чужие произведения?', 0.03523267060518265], ['Можно ли свободно использовать материалы из интернета или из общего доступа?', 0.0020421408116817474], ['Можно ли публиковать видео с чтением чужих книг и их переводов?', 0.0013261075364425778]]"
"Пытался загрузить фильм и получаю:""Видео удалено за нарушение пользовательского соглашения""почему так?",Я не знаю.,ВИДЕО,Загрузка видео,"['При загрузке видео возникает ошибка. Что делать?', 'Я недавно загрузил видеоролик. Почему он до сих пор не появился на сайте?', 'Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ']","[['При загрузке видео возникает ошибка. Что делать?', 0.44939449429512024], ['Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 0.20035035908222198], ['Я недавно загрузил видеоролик. Почему он до сих пор не появился на сайте?', 0.030269131064414978]]"
"можно ли делать вставки из чужие роликов мини фильмов, будет опубликовано?",Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Могу ли я использовать небольшие фрагменты фильмов для создания своих видео?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?']","[['Можно ли публиковать видео с чтением чужих книг и их переводов?', 0.11664403975009918], ['Могу ли я использовать небольшие фрагменты фильмов для создания своих видео?', 0.04516374692320824], ['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.02317124977707863]]"
"Если беру материалы для публикации интернета, надо вам что-то предоставлять?",Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Можно ли свободно использовать материалы из интернета или из общего доступа?', 'Как мне получать донаты за публикации?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?']","[['Можно ли свободно использовать материалы из интернета или из общего доступа?', 0.6331773996353149], ['Как мне получать донаты за публикации?', 0.03479202464222908], ['Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 0.016899339854717255]]"
