question,answer,class_1,class_2,vector_database_result,reranker_result
Здравствуйте! Можно уточнить причины Правилhttps://rutube.ru/info/taboo_agreement/ по которым удаляются ролики? что за нарушение правил RUTUBE ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ,Я не знаю.,МОДЕРАЦИЯ,Запрещенный контент,"['Что я могу и что не могу делать во время стрима?', 'Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.', 'Почему заявка может быть отклонена?']","[['Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.', 0.6972863674163818], ['Почему заявка может быть отклонена?', 0.05662025138735771], ['Что я могу и что не могу делать во время стрима?', 0.029959337785840034]]"
"Добрый вечер, какой топ причин блокировки видео на рутубе?",Я не знаю.,ВИДЕО,Недоступность видео,"['Не могу посмотреть ролик в хорошем качестве', 'Я не могу войти на сайт, мой аккаунт заблокирован', 'Что делать, если видео недоступно только на ТВ. Ошибка «Этот контент доступен только на сайте rutube.ru»?']","[['Что делать, если видео недоступно только на ТВ. Ошибка «Этот контент доступен только на сайте rutube.ru»?', 0.04079333692789078], ['Я не могу войти на сайт, мой аккаунт заблокирован', 0.0012927367351949215], ['Не могу посмотреть ролик в хорошем качестве', 0.0011723734205588698]]"
"Все пишут, что монетизация на рутубе отключается сама собой, у меня тоже так будет?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Могут ли трансляции монетизироваться?', 'Как часто обновляются данные по монетизации?', 'Как подключить монетизацию, если я физлицо?']","[['Могут ли трансляции монетизироваться?', 0.23734059929847717], ['Как подключить монетизацию, если я физлицо?', 0.009464232251048088], ['Как часто обновляются данные по монетизации?', 0.0036433879286050797]]"
Что запрещено в монетизации и что можно выкладывать?,Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Почему заявка может быть отклонена?', 'Монетизируется ли контент с отметкой 18+?', 'С какого возраста доступна монетизация?']","[['С какого возраста доступна монетизация?', 0.3784787654876709], ['Монетизируется ли контент с отметкой 18+?', 0.036722343415021896], ['Почему заявка может быть отклонена?', 0.0024280687794089317]]"
"Чтобы не отключали монетизацию, надо, чтобы я сам снимал видео?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ']","[['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.6111158728599548], ['Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 0.469685435295105], ['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.2522650361061096]]"
"Можно ли мне накрутить просмотры, не будет нарушением? Все равно же это просмотры ",Я не знаю.,ВИДЕО,Загрузка видео,"['Могу ли я скачать копию моей трансляции?', 'Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?', 'Можно ли запускать приватные трансляции на RUTUBE?']","[['Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?', 0.008985497057437897], ['Могу ли я скачать копию моей трансляции?', 0.002033432712778449], ['Можно ли запускать приватные трансляции на RUTUBE?', 0.0016898923786357045]]"
"Если коменты и просмотрынакрученны, рутуб с таким явлением что-то делает?",Я не знаю.,ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"['Можно ли работать с комментариями в приложении Студия RUTUBE?', 'Какие возможности взаимодействия со Студией доступны пользователю с правами Модератора комментариев?', 'Можно ли заблокировать пользователя, оставляющего оскорбительные комментарии?']","[['Можно ли работать с комментариями в приложении Студия RUTUBE?', 0.02068701945245266], ['Какие возможности взаимодействия со Студией доступны пользователю с правами Модератора комментариев?', 0.0018351924372836947], ['Можно ли заблокировать пользователя, оставляющего оскорбительные комментарии?', 0.0010899673216044903]]"
Какой статус мне выбрать для монетизации?,Я не знаю.,ПРЕДЛОЖЕНИЯ,Монетизация,"['Как подключить монетизацию, если я физлицо?', 'Как подключить монетизацию, если я физлицо?', 'Я хочу оформить монетизацию на другого человека. Нужно ли переоформлять канал на него?']","[['Как подключить монетизацию, если я физлицо?', 0.0024231027346104383], ['Как подключить монетизацию, если я физлицо?', 0.002423099474981427], ['Я хочу оформить монетизацию на другого человека. Нужно ли переоформлять канал на него?', 0.001544711645692587]]"
"Если я превышу лимит по самозанятости, с монетизацией все будет хорошо?",Я не знаю.,ПРЕДЛОЖЕНИЯ,Монетизация,"['Как подключить монетизацию, если я физлицо?', 'Как подключить монетизацию, если я физлицо?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?']","[['Как подключить монетизацию, если я физлицо?', 0.0012738676741719246], ['Как подключить монетизацию, если я физлицо?', 0.0012738669756799936], ['Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 0.0011062809498980641]]"
"Подскажите, пожалуйста, что не запрещено выкладывать в монетизации?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Почему заявка может быть отклонена?', 'Монетизируется ли контент с отметкой 18+?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?']","[['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.11326117068529129], ['Почему заявка может быть отклонена?', 0.08797117322683334], ['Монетизируется ли контент с отметкой 18+?', 0.00695370277389884]]"
