question,answer,class_1,class_2,vector_database_result,reranker_result
Здравствуйте! Можно уточнить причины Правилhttps://rutube.ru/info/taboo_agreement/ по которым удаляются ролики? что за нарушение правил RUTUBE ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ,Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.', 'Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 'Можно ли стримить на RUTUBE фильмы и сериалы?', 'Что нельзя публиковать на RUTUBE?', 'Что такое модерация на RUTUBE?', 'На моем видео стоит значок «18+». Что это значит и как это убрать?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Есть ли ограничения на одновременное проведение трансляций на RUTUBE и на других площадках (YouTube, Twitch и VK)?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Зачем нужна регистрация на RUTUBE?']","[['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.37559831142425537], ['Что такое модерация на RUTUBE?', 0.09432072192430496], ['Можно ли стримить на RUTUBE фильмы и сериалы?', 0.0875232145190239]]"
"Добрый вечер, какой топ причин блокировки видео на рутубе?",Я не знаю.,ОТСУТСТВУЕТ,Отсутствует,"['Как эмбедировать видео с RUTUBE?', 'Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 'Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?', 'Что делать, если видео недоступно только на ТВ. Ошибка «Этот контент доступен только на сайте rutube.ru»?', 'Как завести канал на RUTUBE?', 'Можно ли скачать видео с RUTUBE?', 'Какие горячие клавиши есть на RUTUBE?', 'Что такое приватная трансляция на RUTUBE?', 'Как размещать ролики на главной странице RUTUBE?', 'Что такое личный канал на RUTUBE?']","[['Можно ли скачать видео с RUTUBE?', 0.35136914253234863], ['Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?', 0.02603888511657715], ['Что делать, если видео недоступно только на ТВ. Ошибка «Этот контент доступен только на сайте rutube.ru»?', 0.005649162922054529]]"
"Все пишут, что монетизация на рутубе отключается сама собой, у меня тоже так будет?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Могут ли трансляции монетизироваться?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 'Что такое Монетизация на RUTUBE?', 'Что такое Монетизация на RUTUBE?', 'Монетизация подключена. С какого момента будет рассчитываться вознаграждение? ', 'Как часто обновляются данные по монетизации?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Как долго рассматривается заявка на монетизацию? ', 'Как подключить монетизацию, если я физлицо?']","[['Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 0.9150699377059937], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.898348331451416], ['Могут ли трансляции монетизироваться?', 0.8841255307197571]]"
Что запрещено в монетизации и что можно выкладывать?,"В монетизации на RUTUBE запрещено использовать контент, нарушающий авторские права. Это включает в себя видео, на которые у вас нет прав, а также контент, который может быть защищен авторским правом. Чтобы избежать отключения монетизации, важно подтвердить права на использование контента, который вы выкладываете. 

Вы можете выкладывать оригинальные видео, а также контент, на который у вас есть все необходимые права и лицензии.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Могут ли трансляции монетизироваться?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 'Можно ли создать несколько каналов и монетизировать их?', 'С какого возраста доступна монетизация?', 'С какого возраста доступна монетизация?', 'Как подтвердить права на использование контента для монетизации?', 'Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Как формируется вознаграждение за монетизацию?']","[['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.9426662921905518], ['Могут ли трансляции монетизироваться?', 0.7294133901596069], ['Как подтвердить права на использование контента для монетизации?', 0.6004592776298523]]"
"Чтобы не отключали монетизацию, надо, чтобы я сам снимал видео?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 'Можно ли отключить рекламу в видео?', 'Как удалить мой видеоролик?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Можно ли включить отложенную публикацию видео?', 'Как удалить видео?', 'Как закрепить видео на канале?', 'Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?', 'У моего ролика рассинхрон (не совпадают звук и видео). Что делать?']","[['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.9517622590065002], ['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.941956639289856], ['Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 0.590981662273407]]"
"Можно ли мне накрутить просмотры, не будет нарушением? Все равно же это просмотры ",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Могу ли я скачать копию моей трансляции?', 'Можно ли включить отложенную публикацию видео?', 'Могу ли я оформить монетизацию моего канала на доверенное лицо?', 'Можно ли перенести видео с YouTube на RUTUBE-канал?', 'Можно ли предоставить доступ к студии канала другому пользователю, не зарегистрированному на RUTUBE?', 'Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?', 'Можно ли запускать приватные трансляции на RUTUBE?']","[['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.8567895293235779], ['Можно ли запускать приватные трансляции на RUTUBE?', 0.6404089331626892], ['Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?', 0.19459091126918793]]"
"Если коменты и просмотрынакрученны, рутуб с таким явлением что-то делает?",Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Можно ли работать с комментариями в приложении Студия RUTUBE?', 'Можно ли заблокировать пользователя, оставляющего оскорбительные комментарии?', 'Можно ли запускать приватные трансляции на RUTUBE?', 'Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?', 'Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Можно ли управлять другим каналом через приложение Студия RUTUBE?', 'Можно ли управлять другим каналом через приложение Студия RUTUBE?', 'Можно ли стримить на RUTUBE фильмы и сериалы?']","[['Можно ли стримить на RUTUBE фильмы и сериалы?', 0.010032202117145061], ['Можно ли управлять другим каналом через приложение Студия RUTUBE?', 0.005777950398623943], ['Можно ли управлять другим каналом через приложение Студия RUTUBE?', 0.0057779476046562195]]"
Какой статус мне выбрать для монетизации?,Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['С какого возраста доступна монетизация?', 'С какого возраста доступна монетизация?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 'Как подключить монетизацию, если я физлицо?', 'Как подключить монетизацию, если я физлицо?', 'Как долго рассматривается заявка на монетизацию? ', 'Какие документы нужны для заявки на монетизацию?', 'Какие документы нужны для заявки на монетизацию?', 'Как подтвердить права на использование контента для монетизации?', 'Какой контент можно использовать для монетизации, то есть в коммерческих целях?']","[['Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 0.2940695881843567], ['Как подтвердить права на использование контента для монетизации?', 0.2192930430173874], ['С какого возраста доступна монетизация?', 0.1730962097644806]]"
"Если я превышу лимит по самозанятости, с монетизацией все будет хорошо?",Я не знаю.,ПРЕДЛОЖЕНИЯ,Монетизация,"['Как подключить монетизацию, если я физлицо?', 'Как подключить монетизацию, если я физлицо?', 'Могут ли трансляции монетизироваться?', 'Могу ли я оформить монетизацию моего канала на доверенное лицо?', 'Как долго рассматривается заявка на монетизацию? ', 'Как долго рассматривается повторная заявка на монетизацию?', 'С какого возраста доступна монетизация?', 'С какого возраста доступна монетизация?', 'Можно ли подключить монетизацию нескольких каналов на одного человека или организацию?', 'Как формируется вознаграждение за монетизацию?']","[['Как подключить монетизацию, если я физлицо?', 0.25169241428375244], ['Как подключить монетизацию, если я физлицо?', 0.25169241428375244], ['Могут ли трансляции монетизироваться?', 0.08966076374053955]]"
"Подскажите, пожалуйста, что не запрещено выкладывать в монетизации?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Как подтвердить права на использование контента для монетизации?', 'Могут ли трансляции монетизироваться?', 'Можно ли создать несколько каналов и монетизировать их?', 'Какие документы нужны для заявки на монетизацию?', 'Какие документы нужны для заявки на монетизацию?', 'С какого возраста доступна монетизация?', 'С какого возраста доступна монетизация?', 'Как долго рассматривается заявка на монетизацию? ', 'Как формируется вознаграждение за монетизацию?']","[['Могут ли трансляции монетизироваться?', 0.8261825442314148], ['Как подтвердить права на использование контента для монетизации?', 0.05986183136701584], ['Можно ли создать несколько каналов и монетизировать их?', 0.05413167551159859]]"
