question,answer,class_1,class_2,vector_database_result,reranker_result
Здравствуйте! Можно уточнить причины Правилhttps://rutube.ru/info/taboo_agreement/ по которым удаляются ролики? что за нарушение правил RUTUBE ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ,Я не знаю.,МОДЕРАЦИЯ,Запрещенный контент,"['Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.', 'Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 'На моем видеоролике стоит значок «18+». Что это значит и как это убрать?', 'Можно ли стримить на RUTUBE фильмы и сериалы?', 'Что нельзя публиковать на RUTUBE?', 'Можно ли удалить канал через приложение Студия RUTUBE?', 'Можно ли удалить канал через приложение Студия RUTUBE?', 'Что такое модерация на RUTUBE?', 'На моем видео стоит значок «18+». Что это значит и как это убрать?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?']","[['Я нашел на RUTUBE ролик, нарушающий ваши правила или противоречащий законам РФ.', 0.697286069393158], ['Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 0.14822137355804443], ['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.1325274556875229]]"
"Добрый вечер, какой топ причин блокировки видео на рутубе?",Я не знаю.,МОДЕРАЦИЯ,Долгая модерация,"['Как эмбедировать видео с RUTUBE?', 'Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 'Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?', 'Что делать, если видео недоступно только на ТВ. Ошибка «Этот контент доступен только на сайте rutube.ru»?', 'Как завести канал на RUTUBE?', 'Можно ли скачать видео с RUTUBE?', 'Какие горячие клавиши есть на RUTUBE?', 'Что такое приватная трансляция на RUTUBE?', 'Как размещать ролики на главной странице RUTUBE?', 'Что такое трансляции (стримы) на RUTUBE?']","[['Видео недавно загрузилось, почему оно до сих пор не появилось на RUTUBE?', 0.17421433329582214], ['Почему загруженный ролик не отображается в результатах поиска по RUTUBE? ', 0.042260605841875076], ['Что делать, если видео недоступно только на ТВ. Ошибка «Этот контент доступен только на сайте rutube.ru»?', 0.040793467313051224]]"
"Все пишут, что монетизация на рутубе отключается сама собой, у меня тоже так будет?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Могут ли трансляции монетизироваться?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 'Что такое Монетизация на RUTUBE?', 'Что такое Монетизация на RUTUBE?', 'Монетизация подключена. С какого момента будет рассчитываться вознаграждение? ', 'Как часто обновляются данные по монетизации?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Как долго рассматривается заявка на монетизацию? ', 'Как подключить монетизацию, если я физлицо?']","[['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.8011530637741089], ['Что такое Монетизация на RUTUBE?', 0.7911018133163452], ['Что такое Монетизация на RUTUBE?', 0.7911018133163452]]"
Что запрещено в монетизации и что можно выкладывать?,Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Могут ли трансляции монетизироваться?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 'Можно ли создать несколько каналов и монетизировать их?', 'С какого возраста доступна монетизация?', 'С какого возраста доступна монетизация?', 'Как подтвердить права на использование контента для монетизации?', 'Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Как формируется вознаграждение за монетизацию?']","[['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 0.4360612630844116], ['Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 0.3830122947692871], ['С какого возраста доступна монетизация?', 0.3784785866737366]]"
"Чтобы не отключали монетизацию, надо, чтобы я сам снимал видео?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 'Можно ли отключить рекламу в видео?', 'Как удалить мой видеоролик?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Можно ли включить отложенную публикацию видео?', 'Как удалить видео?', 'Как закрепить видео на канале?', 'Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?', 'У моего ролика рассинхрон (не совпадают звук и видео). Что делать?']","[['Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?', 0.6389086246490479], ['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 0.6111161708831787], ['Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ', 0.46968573331832886]]"
"Можно ли мне накрутить просмотры, не будет нарушением? Все равно же это просмотры ",Я не знаю.,ПРЕДЛОЖЕНИЯ,Студия RUTUBE,"['Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 'Могу ли я скачать копию моей трансляции?', 'Можно ли включить отложенную публикацию видео?', 'Могу ли я оформить монетизацию моего канала на доверенное лицо?', 'Можно ли перенести видео с YouTube на RUTUBE-канал?', 'Можно ли предоставить доступ к студии канала другому пользователю, не зарегистрированному на RUTUBE?', 'Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?', 'Можно ли запускать приватные трансляции на RUTUBE?']","[['Можно ли предоставить доступ к студии канала другому пользователю, не зарегистрированному на RUTUBE?', 0.15936455130577087], ['Могу ли я монетизировать видеоролики, в которых есть реакции на фильмы, блоги или клипы?', 0.038024093955755234], ['Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?', 0.0270631555467844]]"
"Если коменты и просмотрынакрученны, рутуб с таким явлением что-то делает?",Я не знаю.,ТРАНСЛЯЦИЯ,Управление трансляцией,"['Можно ли работать с комментариями в приложении Студия RUTUBE?', 'Можно ли заблокировать пользователя, оставляющего оскорбительные комментарии?', 'Можно ли запускать приватные трансляции на RUTUBE?', 'Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?', 'Можно ли менять местами или скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 'Можно ли управлять другим каналом через приложение Студия RUTUBE?', 'Можно ли управлять другим каналом через приложение Студия RUTUBE?', 'Можно ли выдать доступы к студии канала через приложение Студия RUTUBE?']","[['Можно ли запускать приватные трансляции на RUTUBE?', 0.06971386075019836], ['Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 0.04841809347271919], ['Можно ли в приложении Студия RUTUBE создавать и вести трансляции?', 0.04841809347271919]]"
Какой статус мне выбрать для монетизации?,"Для монетизации на видеосервисе RUTUBE доступны различные статусы. Однако, важно отметить, что монетизация может быть отключена в случае изменения юридического статуса на видео. Чтобы избежать этого, необходимо тщательно следить за соответствием видео требованиям и условиям платформы. 

Если у вас есть конкретный статус на примете, уточните, и я постараюсь дать более детальную информацию.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['С какого возраста доступна монетизация?', 'С какого возраста доступна монетизация?', 'Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 'Как подключить монетизацию, если я физлицо?', 'Как подключить монетизацию, если я физлицо?', 'Как долго рассматривается заявка на монетизацию? ', 'Какие документы нужны для заявки на монетизацию?', 'Какие документы нужны для заявки на монетизацию?', 'Как подтвердить права на использование контента для монетизации?', 'Какой контент можно использовать для монетизации, то есть в коммерческих целях?']","[['Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?', 0.5280710458755493], ['Какие документы нужны для заявки на монетизацию?', 0.07944513857364655], ['Какие документы нужны для заявки на монетизацию?', 0.07944513857364655]]"
"Если я превышу лимит по самозанятости, с монетизацией все будет хорошо?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Как подключить монетизацию, если я физлицо?', 'Как подключить монетизацию, если я физлицо?', 'Могут ли трансляции монетизироваться?', 'Могу ли я оформить монетизацию моего канала на доверенное лицо?', 'Как долго рассматривается заявка на монетизацию? ', 'Как долго рассматривается повторная заявка на монетизацию?', 'С какого возраста доступна монетизация?', 'С какого возраста доступна монетизация?', 'Можно ли подключить монетизацию нескольких каналов на одного человека или организацию?', 'Как формируется вознаграждение за монетизацию?']","[['Можно ли подключить монетизацию нескольких каналов на одного человека или организацию?', 0.0012988416710868478], ['Как подключить монетизацию, если я физлицо?', 0.0012738669756799936], ['Как подключить монетизацию, если я физлицо?', 0.0012738669756799936]]"
"Подскажите, пожалуйста, что не запрещено выкладывать в монетизации?",Я не знаю.,МОНЕТИЗАЦИЯ,Отключение/подключение монетизации,"['Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Как подтвердить права на использование контента для монетизации?', 'Могут ли трансляции монетизироваться?', 'Можно ли создать несколько каналов и монетизировать их?', 'Какие документы нужны для заявки на монетизацию?', 'Какие документы нужны для заявки на монетизацию?', 'С какого возраста доступна монетизация?', 'С какого возраста доступна монетизация?', 'Как долго рассматривается заявка на монетизацию? ', 'Как формируется вознаграждение за монетизацию?']","[['Могут ли трансляции монетизироваться?', 0.31472378969192505], ['С какого возраста доступна монетизация?', 0.09270237386226654], ['С какого возраста доступна монетизация?', 0.09270235896110535]]"
"Какую музыку можно использовать в видео, чтобы получать доход от просмотров?",Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Можно ли на RUTUBE стримить музыку?', 'Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Какую категорию выбрать для видео?', 'Какую категорию выбрать для видео?', 'Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?', 'Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Можно ли перенести видео с YouTube на RUTUBE-канал?', 'Какие рекомендации следует учитывать при создании обложки и заголовка для видео, чтобы повысить его привлекательность и видимость? ']","[['Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 0.025235716253519058], ['Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?', 0.015388524159789085], ['Как посмотреть доход по конкретному видео в приложении Студия RUTUBE?', 0.015388524159789085]]"
Я заю что музыку нельзя размещать!  А если сам ее написал или с сайта то как,Я не знаю.,МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Кто такой автор/блогер и как им стать?', 'Что нельзя публиковать на RUTUBE?', 'Как пожаловаться на видео, если оно нарушает авторские права?', 'Как мне лучше оформить свой канал?', 'Как загрузить видеоролик на сайт?', 'Могу ли я скачать копию моей трансляции?', 'Почему вы не разглашаете, чьи авторские права я нарушаю?', 'Могу ли я монетизировать видеоролики, которые ранее загружались на RUTUBE другими пользователями?']","[['Что нельзя публиковать на RUTUBE?', 0.8239068984985352], ['Почему вы не разглашаете, чьи авторские права я нарушаю?', 0.044283218681812286], ['Могу ли я скачать копию моей трансляции?', 0.007204008754342794]]"
У контента из интернета есть авторские права?,"Да, контент из интернета может иметь авторские права. Важно учитывать, что использование материалов, которые защищены авторским правом, без разрешения правообладателя является нарушением. Также необходимо соблюдать правила использования материалов, которые распространяются по свободной лицензии, и проверять, можно ли свободно использовать материалы из интернета или из общего доступа.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Можно ли свободно использовать материалы из интернета или из общего доступа?', 'Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?', 'Какие материалы защищены авторским правом?', 'Можно ли публиковать видео с чтением чужих книг и их переводов?', 'Как подтвердить права на использование контента для монетизации?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Можно ли цитировать чужие произведения?', 'Как пожаловаться на видео, если оно нарушает авторские права?', 'Почему вы не разглашаете, чьи авторские права я нарушаю?']","[['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.11958924680948257], ['Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 0.03232143074274063], ['Можно ли свободно использовать материалы из интернета или из общего доступа?', 0.032039619982242584]]"
Что защищено авторским правом? Какие материалы,"Авторским правом защищены оригинальные произведения, включая, но не ограничиваясь, литературные, музыкальные, художественные и аудиовизуальные материалы. Это означает, что любые творческие работы, созданные автором, подлежат защите, и использование таких материалов без разрешения правообладателя может быть нарушением авторских прав.",МОДЕРАЦИЯ,Отклонение/блокировка видео,"['Какие материалы защищены авторским правом?', 'Кому принадлежат авторские права на контент, который я размещаю на платформе?', 'Можно ли свободно использовать материалы из интернета или из общего доступа?', 'Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?', 'Какой контент можно использовать для монетизации, то есть в коммерческих целях?', 'Как подтвердить права на использование контента для монетизации?', 'Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 'Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?', 'Как пожаловаться на видео, если оно нарушает авторские права?', 'Кто такой автор/блогер и как им стать?']","[['Какие материалы защищены авторским правом?', 0.8332043290138245], ['Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?', 0.019046252593398094], ['Кому принадлежат авторские права на контент, который я размещаю на платформе?', 0.002467845566570759]]"
